name,scientific_name,family,origin,description,care,image_url
Pin 265,Pinus species_265,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 266,Orchis species_266,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 267,Dryopteris species_267,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 268,Mentha species_268,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 269,Thymus species_269,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 270,Salvia species_270,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 271,Echinocactus species_271,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 272,Aloe species_272,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 273,Ficus species_273,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 274,Bambusa species_274,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 275,Tulipa species_275,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 276,Helianthus species_276,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 277,Taraxacum species_277,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 278,Betula species_278,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 279,Fagus species_279,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 280,Phoenix species_280,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 281,Rosa species_281,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 282,Lavandula species_282,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 283,Quercus species_283,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 284,Acer species_284,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 285,Pinus species_285,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 286,Orchis species_286,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 287,Dryopteris species_287,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 288,Mentha species_288,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 289,Thymus species_289,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 290,Salvia species_290,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 291,Echinocactus species_291,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 292,Aloe species_292,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 293,Ficus species_293,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 294,Bambusa species_294,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 295,Tulipa species_295,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 296,Helianthus species_296,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 297,Taraxacum species_297,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 298,Betula species_298,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 299,Fagus species_299,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 300,Phoenix species_300,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 301,Rosa species_301,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 302,Lavandula species_302,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 303,Quercus species_303,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 304,Acer species_304,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 305,Pinus species_305,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 306,Orchis species_306,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 307,Dryopteris species_307,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 308,Mentha species_308,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 309,Thymus species_309,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 310,Salvia species_310,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 311,Echinocactus species_311,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 312,Aloe species_312,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 313,Ficus species_313,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 314,Bambusa species_314,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 315,Tulipa species_315,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 316,Helianthus species_316,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 317,Taraxacum species_317,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 318,Betula species_318,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 319,Fagus species_319,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 320,Phoenix species_320,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 321,Rosa species_321,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 322,Lavandula species_322,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 323,Quercus species_323,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 324,Acer species_324,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 325,Pinus species_325,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 326,Orchis species_326,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 327,Dryopteris species_327,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 328,Mentha species_328,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 329,Thymus species_329,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 330,Salvia species_330,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 331,Echinocactus species_331,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 332,Aloe species_332,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 333,Ficus species_333,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 334,Bambusa species_334,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 335,Tulipa species_335,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 336,Helianthus species_336,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 337,Taraxacum species_337,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 338,Betula species_338,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 339,Fagus species_339,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 340,Phoenix species_340,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 341,Rosa species_341,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 342,Lavandula species_342,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 343,Quercus species_343,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 344,Acer species_344,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 345,Pinus species_345,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 346,Orchis species_346,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 347,Dryopteris species_347,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 348,Mentha species_348,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 349,Thymus species_349,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 350,Salvia species_350,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 351,Echinocactus species_351,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 352,Aloe species_352,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 353,Ficus species_353,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 354,Bambusa species_354,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 355,Tulipa species_355,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 356,Helianthus species_356,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 357,Taraxacum species_357,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 358,Betula species_358,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 359,Fagus species_359,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 360,Phoenix species_360,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 361,Rosa species_361,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 362,Lavandula species_362,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 363,Quercus species_363,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 364,Acer species_364,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 365,Pinus species_365,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 366,Orchis species_366,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 367,Dryopteris species_367,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 368,Mentha species_368,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 369,Thymus species_369,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 370,Salvia species_370,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 371,Echinocactus species_371,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 372,Aloe species_372,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 373,Ficus species_373,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 374,Bambusa species_374,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 375,Tulipa species_375,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 376,Helianthus species_376,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 377,Taraxacum species_377,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 378,Betula species_378,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 379,Fagus species_379,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 380,Phoenix species_380,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 381,Rosa species_381,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 382,Lavandula species_382,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 383,Quercus species_383,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 384,Acer species_384,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 385,Pinus species_385,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 386,Orchis species_386,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 387,Dryopteris species_387,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 388,Mentha species_388,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 389,Thymus species_389,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 390,Salvia species_390,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 391,Echinocactus species_391,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 392,Aloe species_392,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 393,Ficus species_393,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 394,Bambusa species_394,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 395,Tulipa species_395,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 396,Helianthus species_396,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 397,Taraxacum species_397,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 398,Betula species_398,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 399,Fagus species_399,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 400,Phoenix species_400,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 401,Rosa species_401,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 402,Lavandula species_402,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 403,Quercus species_403,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 404,Acer species_404,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 405,Pinus species_405,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 406,Orchis species_406,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 407,Dryopteris species_407,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 408,Mentha species_408,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 409,Thymus species_409,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 410,Salvia species_410,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 411,Echinocactus species_411,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 412,Aloe species_412,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 413,Ficus species_413,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 414,Bambusa species_414,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 415,Tulipa species_415,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 416,Helianthus species_416,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 417,Taraxacum species_417,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 418,Betula species_418,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 419,Fagus species_419,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 420,Phoenix species_420,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 421,Rosa species_421,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 422,Lavandula species_422,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 423,Quercus species_423,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 424,Acer species_424,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 425,Pinus species_425,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 426,Orchis species_426,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 427,Dryopteris species_427,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 428,Mentha species_428,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 429,Thymus species_429,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 430,Salvia species_430,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 431,Echinocactus species_431,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 432,Aloe species_432,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 433,Ficus species_433,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 434,Bambusa species_434,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 435,Tulipa species_435,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 436,Helianthus species_436,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 437,Taraxacum species_437,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 438,Betula species_438,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 439,Fagus species_439,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 440,Phoenix species_440,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 441,Rosa species_441,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 442,Lavandula species_442,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 443,Quercus species_443,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 444,Acer species_444,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 445,Pinus species_445,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 446,Orchis species_446,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 447,Dryopteris species_447,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 448,Mentha species_448,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 449,Thymus species_449,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 450,Salvia species_450,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 451,Echinocactus species_451,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 452,Aloe species_452,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 453,Ficus species_453,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 454,Bambusa species_454,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 455,Tulipa species_455,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 456,Helianthus species_456,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 457,Taraxacum species_457,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 458,Betula species_458,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 459,Fagus species_459,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 460,Phoenix species_460,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 461,Rosa species_461,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 462,Lavandula species_462,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 463,Quercus species_463,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 464,Acer species_464,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 465,Pinus species_465,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 466,Orchis species_466,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 467,Dryopteris species_467,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 468,Mentha species_468,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 469,Thymus species_469,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 470,Salvia species_470,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 471,Echinocactus species_471,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 472,Aloe species_472,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 473,Ficus species_473,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 474,Bambusa species_474,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 475,Tulipa species_475,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 476,Helianthus species_476,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 477,Taraxacum species_477,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 478,Betula species_478,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 479,Fagus species_479,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 480,Phoenix species_480,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 481,Rosa species_481,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 482,Lavandula species_482,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 483,Quercus species_483,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 484,Acer species_484,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 485,Pinus species_485,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 486,Orchis species_486,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 487,Dryopteris species_487,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 488,Mentha species_488,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 489,Thymus species_489,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 490,Salvia species_490,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 491,Echinocactus species_491,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 492,Aloe species_492,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 493,Ficus species_493,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 494,Bambusa species_494,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 495,Tulipa species_495,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 496,Helianthus species_496,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 497,Taraxacum species_497,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 498,Betula species_498,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 499,Fagus species_499,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 500,Phoenix species_500,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 501,Rosa species_501,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 502,Lavandula species_502,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 503,Quercus species_503,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 504,Acer species_504,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 505,Pinus species_505,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 506,Orchis species_506,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 507,Dryopteris species_507,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 508,Mentha species_508,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 509,Thymus species_509,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 510,Salvia species_510,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 511,Echinocactus species_511,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 512,Aloe species_512,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 513,Ficus species_513,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 514,Bambusa species_514,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 515,Tulipa species_515,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 516,Helianthus species_516,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 517,Taraxacum species_517,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 518,Betula species_518,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 519,Fagus species_519,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 520,Phoenix species_520,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 521,Rosa species_521,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 522,Lavandula species_522,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 523,Quercus species_523,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 524,Acer species_524,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 525,Pinus species_525,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 526,Orchis species_526,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 527,Dryopteris species_527,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 528,Mentha species_528,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 529,Thymus species_529,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
